scene_name,TotalTissueArea(sqmm),TotalVilliArea(sqmm),VPD,Area_StainArtifact(sqmm),Area_Hemosiderin(sqmm),Total Stain,Stain>10k,Stain5k-10k,Stain2k-5k,Stain<2k
EARLI Fe.2020039-7 Fe,525.6599522,288.6802094,0.549176722,0.272282799,0.474198593,0.746481391,0.117564701,0.04206632,0.082276544,0.504573826
EARLI Fe.2020039-8 Fe,586.291274,377.1772884,0.643327481,0.238351087,0.62396541,0.862316499,0.127207657,0.058055865,0.079471954,0.597581023
EARLI Fe.2020039_4_Fe,534.3964807,302.1745323,0.565450079,0.130089167,0.466432776,0.596521943,0.028602429,0.031077511,0.047549732,0.489292271
EARLI Fe.2020042-10 Fe,476.5397113,307.6263369,0.645541871,0.36431813,1.662191036,2.026509165,0.304966529,0.091667516,0.11958489,1.51029023
EARLI Fe.2020042-11 Fe,343.1166246,201.7802656,0.588080702,0.074973584,0.873335458,0.948309043,0.038036102,0.056974519,0.087872771,0.765425651
EARLI Fe.2020042-5 Fe,519.1396028,290.1873432,0.558977473,0.142830403,1.301794914,1.444625316,0.036546298,0.03674316,0.050491268,1.32084459
EARLI Fe.2020042-6 Fe,324.5169482,188.5855228,0.581126884,0.089347842,0.699921021,0.789268863,0.015259503,0.013473009,0.029558572,0.730977779
EARLI Fe.2020042-7 Fe,451.1958613,246.7302681,0.546836284,0.169718758,0.827300138,0.997018896,0.093661288,0.012668286,0.044761175,0.845928147
EARLI Fe.2020042-8 Fe (2),551.6556903,351.2591077,0.636736127,0.200537503,1.419414228,1.619951732,0.206300873,0.020873257,0.050931732,1.34184587
EARLI Fe.2020042-8 Fe,549.1902549,351.3838187,0.639821657,0.197288131,1.365670793,1.562958923,0.207297885,0.020074884,0.0520461,1.283540054
EARLI Fe.2020042-9 Fe,455.7306614,290.8021137,0.638100831,0.172389228,1.178722384,1.351111612,0.097903101,0.049090878,0.05382599,1.150291643
EARLI Fe.2020042_4_Fe,539.4552412,329.5968572,0.610980916,0.311443312,0.923505716,1.234949027,0.226030705,0.038974275,0.05262184,0.917322207
EARLI Fe.2020048-10 Fe,332.6530177,173.8523332,0.522623647,0.081026532,0.169082956,0.250109488,0,0.0056262,0.013700353,0.230782935
EARLI Fe.2020048-11 Fe,511.7200014,326.6035073,0.638246514,0.141113,0.645106654,0.786219654,0.014545718,0.014070708,0.029369076,0.728234152
EARLI Fe.2020048-5 Fe,598.7045729,388.4029055,0.648738832,0.227841937,0.688871579,0.916713516,0.039202797,0.031905426,0.054340627,0.791264666
EARLI Fe.2020048-6 Fe,622.0050183,415.0783101,0.667323089,0.238645492,0.965349706,1.203995198,0.048575734,0.053229307,0.063745315,1.038444842
EARLI Fe.2020048-7 Fe,636.7041178,413.2396163,0.649029282,0.195018752,0.838797156,1.033815908,0.152808913,0.028514566,0.057444702,0.795047727
EARLI Fe.2020048-8 Fe,640.9113218,413.3635522,0.644962163,0.172837567,0.977563303,1.15040087,0.056576476,0.036312857,0.050566457,1.00694508
EARLI Fe.2020048-9 Fe,610.6323512,423.5957079,0.693700075,0.164897281,1.093358021,1.258255301,0.021512361,0.033948984,0.062106658,1.140687298
EARLI Fe.2020048_4_Fe,630.0205913,433.1492959,0.687516094,0.085826169,0.388170842,0.473997011,0.01360141,0.027317946,0.022556338,0.410521317
EARLI Fe.2020053-10 Fe,600.0134706,397.6483926,0.662732442,0.144307252,0.284861163,0.429168414,0.021512615,0.009749896,0.018926478,0.378979425
EARLI Fe.2020053-11 Fe,522.4092086,275.9923213,0.528306769,0.110997118,0.161692615,0.272689733,0.011158161,0.015773378,0.012689369,0.233068825
EARLI Fe.2020053-12 Fe,561.967137,357.1637137,0.635559787,0.063157776,0.143981095,0.207138871,0.015499548,0.006045073,0.011241986,0.174352264
EARLI Fe.2020053-3 Fe,506.7430202,309.4916369,0.610746719,0.117685867,0.173592248,0.291278115,0.007959083,0.015336724,0.015620714,0.252361594
EARLI Fe.2020053-5 Fe,525.4991115,345.1800263,0.656861294,0.169084734,0.413172265,0.582256998,0.013200195,0.003176724,0.01889752,0.546982559
EARLI Fe.2020053-6 Fe,522.3267479,315.4460213,0.603924694,0.096321343,0.226439261,0.322760604,0.011889473,0.010171309,0.013099097,0.287600725
EARLI Fe.2020053-7 Fe,430.7727712,260.4031988,0.604502457,0.498146713,0.392113323,0.890260036,0.271405681,0.093713869,0.078167074,0.446973412
EARLI Fe.2020053-8 Fe,434.2057888,251.9526748,0.580260976,0.150812347,0.198907229,0.349719576,0.062007592,0.030275913,0.024464281,0.23297179
EARLI Fe.2020053-9 Fe,573.7443557,338.9230856,0.590721429,0.156588417,0.204371367,0.360959783,0.008307847,0.004021835,0.011737825,0.336892276
EARLI Fe.2020053_4_Fe,563.7486325,359.1002412,0.636986452,0.079188975,0.186571012,0.265759988,0.014053785,0.01362003,0.010135037,0.227951136
EARLI Fe.2020064-10 Fe,460.1930537,313.3514918,0.680913128,0.117167674,0.329547912,0.446715586,0.015317419,0.036681943,0.050742744,0.34397348
EARLI Fe.2020064-11 Fe,491.8178473,327.4043166,0.66570239,0.182655031,0.569129706,0.751784737,0.063517209,0.065479736,0.062817649,0.559970143
EARLI Fe.2020064-3 Fe,456.2546786,310.1881665,0.679857503,0.076889119,0.342575376,0.419464495,0.026528923,0.014267063,0.028693393,0.349975116
EARLI Fe.2020064-5 Fe,358.1729637,237.8774127,0.664141174,0.063873593,0.212532901,0.276406494,0.002719495,0.011506925,0.022906147,0.239273927
EARLI Fe.2020064-6 Fe,228.2703419,147.0813538,0.644329669,0.402195472,0.391710199,0.79390567,0.285100446,0.071636576,0.10913391,0.328034738
EARLI Fe.2020064-7 Fe,509.6889842,301.4608098,0.59146032,0.143724539,0.316596906,0.460321446,0.030826874,0.041396988,0.035783742,0.352313842
EARLI Fe.2020064-8 Fe,467.7701749,291.0603555,0.622229401,0.244051206,0.300950536,0.545001743,0.097322928,0.032555199,0.055628996,0.35949462
EARLI Fe.2020064-9 Fe,518.9806002,366.5696008,0.706326211,0.19019067,0.474307566,0.664498235,0.060447679,0.03515556,0.052176919,0.516718077
EARLI Fe.2020064_4_Fe,440.2616417,306.7416899,0.696725903,0.049962924,0.198207148,0.248170071,0.015074186,0.013426229,0.025665794,0.194003862
EARLI Fe.2030016-10 Fe,535.2832112,395.096811,0.738107982,0.387788446,0.503178008,0.890966454,0.123114697,0.13424898,0.169082448,0.464520329
EARLI Fe.2030016-11 Fe,403.5620649,294.362452,0.72941061,0.226903348,0.413050337,0.639953686,0.096523032,0.073583101,0.12945773,0.340389823
EARLI Fe.2030016-3 Fe,599.5240504,482.2704637,0.804422214,0.496556065,0.561497288,1.058053353,0.113851749,0.151672446,0.173701475,0.618827683
EARLI Fe.2030016-5 Fe,416.6436624,285.1216718,0.684329794,0.273371511,0.386656297,0.660027808,0.022672452,0.062280913,0.112451867,0.462622576
EARLI Fe.2030016-6 Fe,591.0170515,428.8075035,0.725541678,0.389702203,0.655374743,1.045076945,0.058532653,0.099721347,0.189895757,0.696927188
EARLI Fe.2030016-7 Fe,273.1233612,222.5241312,0.81473855,0.11871387,0.25430253,0.3730164,0.014033114,0.02312079,0.07445336,0.261409136
EARLI Fe.2030016-8 Fe,462.1935044,304.7514519,0.659359011,0.685171582,0.728904246,1.414075828,0.20330704,0.241743979,0.28173575,0.687289059
EARLI Fe.2030016-9 Fe,563.8964266,399.0358585,0.707640339,0.673690567,1.002613091,1.676303658,0.152165237,0.176805805,0.351674483,0.995658133
EARLI Fe.2030016_4_Fe,555.1024515,446.3302185,0.804050166,0.177350953,0.443585344,0.620936298,0.033814839,0.053147382,0.103363374,0.430610703
EARLI Fe.2030075-10 Fe,592.7490654,339.8509578,0.5733471,0.321896442,0.51059934,0.832495781,0.228664441,0.034549732,0.039810658,0.52947095
EARLI Fe.2030075-3 Fe,427.0782106,240.3728408,0.562830964,0.095158712,0.335944035,0.431102746,0.033909612,0.017305094,0.023038743,0.356849297
EARLI Fe.2030075-5 Fe,431.4897049,233.7557369,0.541741168,0.084082598,0.283604546,0.367687143,0.023321463,0.014274429,0.021390687,0.308700564
EARLI Fe.2030075-6 Fe,424.9191071,227.6184205,0.535674713,0.245309856,0.3320614,0.577371256,0.154663992,0.03998034,0.054591849,0.328135075
EARLI Fe.2030075-8 Fe,497.8036942,290.9356126,0.584438436,0.131916605,0.388040938,0.519957543,0.039930553,0.033702589,0.036545536,0.409778865
EARLI Fe.2030075_4_Fe,452.317529,253.032068,0.559412474,0.053665319,0.319274514,0.372939833,0.053528426,0.003944448,0.016689362,0.298777597
EARLI Fe.3020019-3 Fe,261.8716155,145.4603108,0.555464213,0.152445416,0.204267982,0.356713399,0.071656898,0.024119327,0.026263222,0.234673952
EARLI Fe.3020019-5 Fe,301.6037329,211.7517782,0.702086066,0.116698253,0.225910146,0.342608399,0.055274644,0.014759346,0.015797001,0.256777408
EARLI Fe.3020019-6 Fe,446.5648659,271.5883577,0.608172247,0.287251961,0.231355995,0.518607956,0.116607061,0.049277326,0.077620177,0.275103392
EARLI Fe.3020019-7 Fe,360.4535074,254.0086511,0.704691856,0.208334779,0.208384312,0.41671909,0.081684179,0.023483779,0.042885267,0.268665865
EARLI Fe.3020019_4_Fe,391.601797,258.3741495,0.659787957,0.246841531,0.103907273,0.350748803,0.171017178,0.034105932,0.026486887,0.119138806
EARLI Fe.3020038-3 Fe,381.3312954,266.3757195,0.698541459,0.445708412,0.556315869,1.002024282,0.215204387,0.106556156,0.135767996,0.544495743
EARLI Fe.3020038-5 Fe,253.9894368,138.2690653,0.544389038,0.133540783,0.224541253,0.358082036,0.056349893,0.040628335,0.035597802,0.225506006
EARLI Fe.3020038-6 Fe,346.1228549,245.5067267,0.709305159,0.233961183,0.22832787,0.462289053,0.093504306,0.055957693,0.051983866,0.260843188
EARLI Fe.3020038-7 Fe,411.786548,319.1734181,0.775094329,0.226667113,0.377536614,0.604203728,0.125895156,0.036801584,0.046149119,0.395357869
EARLI Fe.3020038_4_Fe,409.0835447,273.2965254,0.6680702,0.20293886,0.259582249,0.462521109,0.054423473,0.040987803,0.041179505,0.325930328
EARLI Fe.3020059-10 Fe,538.6412298,406.4495588,0.754583081,0.132356307,0.394786587,0.527142893,0.032310073,0.015085502,0.038678508,0.44106881
EARLI Fe.3020059-11 Fe,496.6909558,351.2518746,0.707183955,0.12130026,0.415407352,0.536707612,0.088286055,0.008099554,0.01790508,0.422416923
EARLI Fe.3020059-12 Fe,485.6989892,372.8398016,0.767635531,0.107525735,0.611576542,0.719102277,0.108110226,0.021271554,0.023614089,0.566106408
EARLI Fe.3020059-13 Fe,457.1994716,337.07458,0.737259338,0.031770035,0.232300934,0.26407097,0.011855689,0.001757283,0.007327092,0.243130906
EARLI Fe.3020059-14 Fe,445.6028484,333.0540198,0.747423453,0.081178179,0.420125953,0.501304132,0.020675632,0.008298449,0.011573223,0.460756828
EARLI Fe.3020059-15 Fe,461.4946248,318.7054012,0.690593962,0.077744137,0.301772024,0.37951616,0.019359575,0.014100682,0.01136747,0.334688433
EARLI Fe.3020059-3 Fe,559.6997727,394.7204122,0.70523597,0.150523277,0.449912885,0.600436162,0.200153177,0.018826142,0.020402819,0.361054024
EARLI Fe.3020059-5 Fe,472.7847216,323.0354304,0.683261145,0.060187821,0.243853582,0.304041403,0,0.001641959,0.008631464,0.29376798
EARLI Fe.3020059-6 Fe,395.6540472,281.9593209,0.712641063,0.04001514,0.196181383,0.236196523,0.003052764,0,0.011134029,0.22200973
EARLI Fe.3020059-7 Fe,475.6919258,388.7715142,0.817275831,0.052125099,0.203795513,0.255920612,0.023407828,0.004307349,0.009186997,0.219018438
EARLI Fe.3020059-8 Fe,515.2814269,412.2114197,0.79997337,0.141899688,0.299962922,0.441862611,0.075969073,0.009327976,0.025714294,0.330851268
EARLI Fe.3020059-9 Fe,563.1493049,415.7428043,0.738246147,0.060651146,0.247358241,0.308009387,0.007226247,0.016333737,0.011479999,0.272969404
EARLI Fe.3020059_4_Fe,434.289928,283.3034039,0.652337035,0.035277649,0.123060177,0.158337826,0.011459644,0.004423572,0.005335403,0.137119207
EARLI Fe.3020062-10 Fe,393.626951,275.2943402,0.699378789,0.143163418,0.349536939,0.492700356,0.042820493,0.041612139,0.058814611,0.349453113
EARLI Fe.3020062-11 Fe,364.3738037,267.3602103,0.733752557,0.106111628,0.609923406,0.716035034,0.031565806,0.048278535,0.047797429,0.588393264
