,scene_name,scene_id,scene_ver,th_BG,Layer.mean.of.Layer.1..unclassified,Layer.mean.of.Layer.2..unclassified,Layer.mean.of.Layer.3..unclassified,th_RL1,th_RL2,th_RL3,2,3,4,5,6,7,8,9,10,11,12
42,GDM.GDM_3022_Q3,3E9AC8AC-68CF-11E8-9ECC-D89EF314B0B8,2,187,175.3480561,115.8138144,147.5371086,0.399700169,0.263993809,0.336306022,1,1,1,4,1,4,4,6,2,2,1
43,GDM.GDM_3022_Q4,3E9AC8AD-68CF-11E8-9ECC-D89EF314B0B8,2,193,176.6538118,121.7913496,153.7183506,0.390685686,0.26935245,0.339961864,1,1,1,4,5,4,4,3,2,2,1
44,GDM.GDM_3244_Q1,3E9AC8AF-68CF-11E8-9ECC-D89EF314B0B8,2,192,170.7197332,107.5521189,147.0944767,0.401347548,0.252845869,0.345806583,1,1,4,4,1,4,7,6,8,3,11
45,GDM.GDM_3244_Q2,3E9AC8B0-68CF-11E8-9ECC-D89EF314B0B8,2,199,170.8545742,112.5113481,151.8924241,0.392536009,0.258493258,0.348970733,1,1,1,4,5,4,4,9,1,2,8
46,GDM.GDM_3244_Q3,3E9AC8B1-68CF-11E8-9ECC-D89EF314B0B8,2,194,164.1393053,110.4728653,149.5669802,0.386957504,0.260439168,0.352603328,1,1,4,4,1,4,7,9,8,3,11
47,GDM.GDM_3244_Q4,3E9AC8B2-68CF-11E8-9ECC-D89EF314B0B8,2,192,173.7728807,118.6798336,155.347881,0.388058619,0.265028307,0.346913074,1,1,1,4,5,4,4,3,2,2,1
48,HBW.HBW_1462_3,3E9AC8B5-68CF-11E8-9ECC-D89EF314B0B8,2,195,179.7555752,114.7225758,153.6602472,0.401116209,0.255998094,0.342885697,1,1,1,4,5,4,4,3,2,2,1
49,HBW.HBW_1462_4,3E9AC8B6-68CF-11E8-9ECC-D89EF314B0B8,2,192,181.4196298,111.0462319,150.9785883,0.40911467,0.250417458,0.340467872,1,1,1,4,5,4,4,3,2,2,1
50,HBW.HBW_1462_5,3E9AC8B7-68CF-11E8-9ECC-D89EF314B0B8,2,194,178.535905,116.4390769,160.3480482,0.392108225,0.255728503,0.352163272,1,1,1,4,5,4,4,3,2,2,1
51,HBW.HBW_1462_6,3E9AC8B8-68CF-11E8-9ECC-D89EF314B0B8,2,209,191.3247032,138.7747342,173.1803226,0.380155767,0.275740742,0.344103491,2,3,2,2,3,7,8,5,10,6,10
